time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust,dealer,foreign,"K(9,3)","D(9,3)",J,DIF12-26,MACD9,OSC,volume,MA5,MA10,financing,financing_difference,tomorrow,percentage
2013/2/19,7974.4,7974.4,7946.09,7960.88,7926.52,7878.9,7686.36,7599.82,7986.17,7795.63,7605.08,-1360,225,32032,0.8514,0.854,0.8462,69.01,53.42,15.59,817.31,890.75,819.04,1743,7.03,8029.1,0.002184167
2013/2/20,8021.31,8029.1,7995.16,8029.1,7957.24,7904.31,7697.26,7606.74,8021.81,7805.88,7589.95,-1358,234,32092,0.9009,0.8696,0.9635,76.52,58.04,18.47,1009.73,911.17,861.41,1750,6.49,7957.46,0.008569404
2013/2/21,8020.52,8020.52,7957.46,7957.46,7967.82,7919.71,7706.82,7613.06,8040.26,7815.5,7590.74,-1369,232,32080,0.8293,0.8562,0.7755,77.75,61.98,15.76,848.58,920.38,869.94,1755,4.86,7947.72,-0.008922544
2013/2/22,7947.88,7970.24,7913.16,7947.72,7960.13,7924.26,7714.62,7618.54,8053.15,7827.87,7602.58,-1379,236,32065,0.7486,0.8203,0.6051,75.55,64.7,10.85,771.57,886.17,865.23,1760,5.63,7986.89,-0.001224009
2013/2/23,7979.15,7997.94,7965.89,7986.89,7967.58,7934.84,7723.4,7624.56,8059.73,7846.38,7633.03,-1382,242,32071,0.7472,0.796,0.6497,76.13,66.98,9.15,538.8,797.2,838.19,1765,4.75,7947.68,0.004928457
2013/2/25,7986.87,7995.11,7947.68,7947.68,7968.16,7941.11,7731.47,7630.26,8068.14,7857.12,7646.1,-1377,249,32040,0.6672,0.753,0.4955,73.74,68.33,5.4,741.71,782.08,836.41,1770,5.4,7880.9,-0.004909295
2013/2/26,7891.41,7927.49,7871.23,7880.9,7943.03,7932.32,7736.76,7634.6,8067.17,7864.92,7662.67,-1380,240,32005,0.4652,0.6571,0.0814,65.48,67.76,-2.28,715.47,723.22,817.19,1766,-4.41,7897.98,-0.008402452
2013/2/27,7886.03,7912.85,7873.29,7897.98,7926.2,7925.09,7741.86,7638.86,8068.57,7871.86,7675.16,-1386,238,32008,0.3666,0.5603,-0.0207,58.7,65.95,-7.25,756.42,704.79,812.59,1763,-3.09,7964.63,0.002167265
2013/3/1,7917.72,7964.63,7917.72,7964.63,7931.19,7928.01,7748.4,7643.86,8074.37,7882.89,7691.4,-1387,242,32063,0.4416,0.5207,0.2834,57.29,64.22,-6.92,819.68,714.41,800.29,1762,-1.05,7867.34,0.008438867
2013/3/4,7966.22,7966.22,7849.52,7867.34,7924.9,7925.16,7753.77,7648.3,8063.02,7891.45,7719.89,-1398,239,31994,0.3275,0.4563,0.0699,50.33,61.44,-11.11,858.34,778.32,787.76,1763,1.2,7932.71,-0.012215257
2013/3/5,7910.44,7939.85,7882.56,7932.71,7922.06,7923.57,7759.1,7652.73,8044.16,7904.46,7764.76,-1401,243,32027,0.3805,0.431,0.2794,47.04,58.56,-11.52,931.96,816.37,799.22,1767,4.3,7950.3,0.008309035
2013/3/6,7958.11,7982.39,7936.86,7950.3,7933.68,7929.63,7765.59,7657.75,8026.6,7916.24,7805.89,-1414,241,32049,0.48,0.4474,0.5453,46.56,56.16,-9.6,1033.99,880.08,801.65,1772,4.14,7960.51,0.002217401
2013/3/7,7950.9,7984.29,7942.37,7960.51,7942.29,7935.06,7771.95,7662.74,8022.7,7924.17,7825.64,-1421,253,32059,0.5693,0.488,0.7318,46.21,54.17,-7.96,834.62,895.72,800.25,1779,7.94,8015.14,0.001284228
2013/3/8,7981,8029.14,7981,8015.14,7962.05,7947.16,7779.48,7668.34,8030.07,7933.28,7836.48,-1423,256,32100,0.6869,0.5543,0.952,49.25,53.19,-3.93,947.6,921.3,817.86,1786,6.13,8038.72,0.006862626
