time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error,tomorrow,percentage
2013/2/19,7974.4,7974.4,7946.09,7960.88,7926.52,7878.9,7686.36,7599.82,7986.17,7795.63,7605.08,-8,-1360,1850,20,32032,9,225,817.31,890.75,819.04,1743,7,8029.1,0.002184167
2013/2/20,8021.31,8029.1,7995.16,8029.1,7957.24,7904.31,7697.26,7606.74,8021.81,7805.88,7589.95,2,-1358,1956,60,32092,9,234,1009.73,911.17,861.41,1750,7,7957.46,0.008569404
2013/2/21,8020.52,8020.52,7957.46,7957.46,7967.82,7919.71,7706.82,7613.06,8040.26,7815.5,7590.74,-11,-1369,2024,-12,32080,-2,232,848.58,920.38,869.94,1755,5,7947.72,-0.008922544
2013/2/22,7947.88,7970.24,7913.16,7947.72,7960.13,7924.26,7714.62,7618.54,8053.15,7827.87,7602.58,-10,-1379,2097,-15,32065,4,236,771.57,886.17,865.23,1760,5,7986.89,-0.001224009
2013/2/23,7979.15,7997.94,7965.89,7986.89,7967.58,7934.84,7723.4,7624.56,8059.73,7846.38,7633.03,-3,-1382,2120,6,32071,6,242,538.8,797.2,838.19,1765,5,7947.68,0.004928457
2013/2/25,7986.87,7995.11,7947.68,7947.68,7968.16,7941.11,7731.47,7630.26,8068.14,7857.12,7646.1,5,-1377,2173,-31,32040,7,249,741.71,782.08,836.41,1770,5,7880.9,-0.004909295
2013/2/26,7891.41,7927.49,7871.23,7880.9,7943.03,7932.32,7736.76,7634.6,8067.17,7864.92,7662.67,-3,-1380,2245,-35,32005,-9,240,715.47,723.22,817.19,1766,-4,7897.98,-0.008402452
2013/2/27,7886.03,7912.85,7873.29,7897.98,7926.2,7925.09,7741.86,7638.86,8068.57,7871.86,7675.16,-6,-1386,2339,3,32008,-2,238,756.42,704.79,812.59,1763,-3,7964.63,0.002167265
2013/3/1,7917.72,7964.63,7917.72,7964.63,7931.19,7928.01,7748.4,7643.86,8074.37,7882.89,7691.4,-1,-1387,2442,55,32063,4,242,819.68,714.41,800.29,1762,-1,7867.34,0.008438867
2013/3/4,7966.22,7966.22,7849.52,7867.34,7924.9,7925.16,7753.77,7648.3,8063.02,7891.45,7719.89,-11,-1398,2504,-69,31994,-3,239,858.34,778.32,787.76,1763,1,7932.71,-0.012215257
2013/3/5,7910.44,7939.85,7882.56,7932.71,7922.06,7923.57,7759.1,7652.73,8044.16,7904.46,7764.76,-3,-1401,2560,33,32027,4,243,931.96,816.37,799.22,1767,4,7950.3,0.008309035
2013/3/6,7958.11,7982.39,7936.86,7950.3,7933.68,7929.63,7765.59,7657.75,8026.6,7916.24,7805.89,-13,-1414,2625,22,32049,-2,241,1033.99,880.08,801.65,1772,5,7960.51,0.002217401
