time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error
2013/3/8,7981,8029.14,7981,8015.14,7962.05,7947.16,7779.48,7668.34,8030.07,7933.28,7836.48,-1.93货,-1423货,2767货,41.0货,32100货,3.39货,256货,947.6,921.3,817.86,1786货,6.13货
2013/3/11,8021.88,8089.21,8001.85,8038.72,7987.34,7963.66,7787.95,7674.45,8041.96,7942.71,7843.46,-4959窾,-1424货,2855货,4.96货,32105货,5.74货,262货,961.15,941.86,860.09,1796货,10.5货
2013/3/12,8039,8063.23,7986.59,7994.71,7998.52,7974.06,7795.59,7680.18,8042.89,7949.65,7856.41,-2.42货,-1426货,2909货,-3.86货,32101货,-5.49货,256货,918.23,939.12,877.75,1797货,4343窾
2013/3/13,8018.9,8047.56,7962.42,7995.51,8001.05,7979.89,7802.49,7685.56,8047.72,7953.27,7858.81,-14.3货,-1440货,2952货,-4.38货,32097货,-13.6货,243货,837.15,899.75,889.91,1802货,5.76货
2013/3/14,8002.42,8002.71,7946.29,7951.76,7992.63,7979.14,7808.17,7690.36,8045.95,7956.51,7867.06,-7.36货,-1448货,2991货,-46.0货,32051货,-10.4货,232货,765.74,885.97,890.84,1811货,8.34货
2013/3/15,7989.67,7999.92,7924.94,7927.49,7981.92,7975.75,7813.17,7694.83,8045.11,7957.55,7869.99,-3.93货,-1452货,3035货,-45.0货,32006货,-10.1货,222货,935.49,883.55,902.43,1808货,-2.96货
2013/3/18,7886.69,7888.16,7807.61,7811.34,7937.43,7952.61,7814.32,7697.37,8059.24,7950.94,7842.64,-9.71货,-1461货,3070货,-81.1货,31925货,-16.5货,206货,710.69,833.46,887.66,1804货,-4.13货
2013/3/19,7843.47,7863.77,7823.81,7838.47,7905.75,7932.57,7815.24,7699.76,8063.51,7944.82,7826.12,-8.09货,-1470货,3116货,-67.9货,31857货,2.08货,208货,735.53,796.92,868.02,1808货,4.61货
2013/3/20,7834.73,7844.54,7786.56,7798.03,7875.82,7911.37,7815.27,7701.68,8061.5,7933.26,7805.03,-5558窾,-1470货,3161货,-137货,31720货,1.63货,209货,744.77,778.44,839.1,1819货,10.7货
2013/3/21,7828.95,7843.16,7811.84,7811.84,7858.53,7895.47,7815.55,7703.7,8064.05,7925.98,7787.91,-1.56货,-1472货,3209货,-45.5货,31675货,-2.50货,207货,702.69,765.83,825.9,1822货,3.38货
2013/3/22,7811.52,7832.59,7796.22,7796.22,7842.07,7879.77,7815.34,7705.45,8067.09,7918.41,7769.72,-2.12货,-1474货,3244货,-25.5货,31649货,-3.39货,204货,653.82,709.5,796.52,1827货,5.02货
2013/3/25,7862.58,7877.05,7854.47,7856.12,7848.9,7876.64,7816.89,7708.04,8059.43,7911.87,7764.31,-822窾,-1474货,3297货,15.1货,31664货,-5.32货,198货,598.28,687.02,760.24,1826货,-9602窾
2013/3/26,7873.7,7876.68,7845.56,7856.36,7853.62,7874.18,7818.4,7710.61,8055.8,7907.3,7758.81,-2.26货,-1476货,3349货,-8.12货,31656货,2.98货,201货,687.68,677.45,737.18,1825货,-8737窾
